question,User_type,Information_type,Question_type,tool_used
"Hi there, could you tell me how many packs of the manila file folders you currently have in stock? I need to place an order soon.",standard,product,clear,query_database
What's the price on your dry erase markers? I'm looking to pick up a few packs for our office whiteboard.,standard,product,clear,query_database
"Hi, I was wondering if you carry the spiral notebooks in a 3-pack? I'd like to know the price and if they're currently available.",standard,product,clear,query_database
Do you have the blue ballpoint pens in stock right now? I need a couple of 12-packs for our front desk.,standard,product,clear,query_database
"Hi, I'm looking for something to organize papers at our office — what do you have that might work?",standard,product,vague,query_database
"Hi, do you have anything for writing on whiteboards? I'm not sure exactly what I need.",standard,product,vague,query_database
"Hey, I'm looking to stock up on some basics for our office — do you have tape available?",standard,product,vague,query_database
"Hi, I'm looking for something to hold papers together — what would you recommend?",standard,product,vague,query_database
Hi! I'm looking to order some copy paper and sticky notes for our office. Could you let me know the pricing on both and how many of each you have available right now?,standard,product,multi_intent,query_database
"Hey there! I need to grab some envelopes and also a stapler for our office. Could you let me know what the pricing looks like for both, and whether you have enough in stock? We'd probably need about 10 of the envelope packs and maybe 3 or 4 staplers.",standard,product,multi_intent,query_database
"Hi, I'm putting together a supply order for our team. Can you tell me the price on the binder clips and also how many packs of the sticky notes you have in stock? I'd like to grab both if possible.",standard,product,multi_intent,query_database
"Hello! I'm looking to order some spiral notebooks and blue ballpoint pens for a small team. Could you tell me the current price for each, and also whether you have at least 10 of each in stock? Thanks!",standard,product,multi_intent,query_database
"Hi, could you let me know what your return policy is? I recently ordered some sticky notes and I want to understand my options in case I need to send them back.",standard,policy,clear,
"Hi there, could you tell me how long shipping usually takes? I'm planning to place an order for some office supplies and want to make sure they arrive in time.",standard,policy,clear,
"Hi, I was wondering if you offer any kind of bulk discount? I'm thinking about placing a larger order for our department and wanted to check before I go ahead.",standard,policy,clear,
"Hi, could you tell me what your ordering process looks like? I'd like to place an order for some copy paper but I'm not sure how to go about it — do I order through the website, or can I place an order over the phone?",standard,policy,clear,
"Hi, I was wondering about your policy on orders — like, what happens if something goes wrong?",standard,policy,vague,
"Hey, I had a quick question — what are your rules around exchanges?",standard,policy,vague,
"Hi there, I was just curious about your policies — like, how does everything work if I need to cancel something?",standard,policy,vague,
